well_name,unique_id,DNA_name,rxn_id,DNA_conc,K,Mg,PEG,SecYE,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
C18,1254,CD81,209,2.5,185,14,0,1.25,0.1,3,no_lipo,2,4,17,2
D12,1255,CD81,210,2.5,185,14,0,1.25,0.1,3,no_lipo,2,4,11,3
G17,1256,CD81,211,2.5,235,8,0,0.625,0.1,3,no_lipo,2,4,16,6
A11,1257,CD81,212,2.5,235,20,0,0.625,0.1,3,no_lipo,2,4,10,0
P23,1258,CD81,213,2.5,235,20,0,0.625,0.1,3,no_lipo,2,4,22,15
P12,1259,CD81,299,5.0,85,14,0,0.0,0.1,3,no_lipo,2,4,11,15
C22,1260,CD81,300,5.0,85,14,0,0.0,0.1,3,no_lipo,2,4,21,2
F14,1261,CD81,346,2.5,85,14,0,0.0,0.1,3,no_lipo,2,4,13,5
D1,1262,CD81,347,2.5,185,14,0,0.0,0.1,3,no_lipo,2,4,0,3
N5,1263,CD81,348,2.5,185,20,0,0.0,0.1,3,no_lipo,2,4,4,13
M13,1264,CD81,89,5.0,85,8,0,0.0,0.1,3,no_lipo,2,4,12,12
O15,1265,CD81,204,2.5,85,20,0,0.0,0.1,3,no_lipo,2,4,14,14
N13,1266,CD81,205,2.5,85,20,0,0.0,0.1,3,no_lipo,2,4,12,13
B14,1267,CD81,206,2.5,85,20,0,1.25,0.1,3,no_lipo,2,4,13,1
A7,1268,CD81,207,2.5,185,14,0,0.0,0.1,3,no_lipo,2,4,6,0
M17,1269,CD81,208,2.5,185,14,0,0.0,0.1,3,no_lipo,2,4,16,12
K7,1270,CD81,209,2.5,185,14,0,1.25,0.1,3,no_lipo,2,4,6,10
B4,1271,CD81,210,2.5,185,14,0,1.25,0.1,3,no_lipo,2,4,3,1
D22,1272,CD81,211,2.5,235,8,0,0.625,0.1,3,no_lipo,2,4,21,3
A12,1273,CD81,212,2.5,235,20,0,0.625,0.1,3,no_lipo,2,4,11,0
F19,1274,CD81,213,2.5,235,20,0,0.625,0.1,3,no_lipo,2,4,18,5
F17,1275,CD81,299,5.0,85,14,0,0.0,0.1,3,no_lipo,2,4,16,5
