well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row
P16,179,96,Blank,0.0,no_lipo,3,20,0.0,185,2,0,4,0,1,15,15
J10,180,0,CD63,5.0,DMPC,3,20,0.0,185,1,0,4,0,1,9,9
H16,181,1,CD63,5.0,DOPC,3,8,1.25,85,1,0,4,0,1,15,7
A8,182,2,CD63,5.0,DMPC,3,14,1.25,85,2,0,4,0,1,7,0
J8,183,3,CD63,5.0,DOPC,3,14,0.0,185,2,0,4,0,1,7,9
G2,184,4,CD63,5.0,DMPC,3,14,0.0,185,1,0,4,0,1,1,6
K3,185,5,CD63,5.0,DMPC,3,14,1.25,185,1,0,4,0,1,2,10
D19,186,6,CD63,5.0,DOPC,3,20,0.0,185,0,0,4,0,1,18,3
G1,187,7,CD63,5.0,DMPC,3,14,0.0,135,0,0,4,0,1,0,6
N6,188,8,CD63,5.0,DOPC,3,14,0.0,85,0,0,4,0,1,5,13
A15,189,9,CD81,5.0,DOPC,3,20,1.25,85,2,0,4,0,1,14,0
I6,190,10,CD81,5.0,DOPC,3,8,1.25,85,1,0,4,0,1,5,8
C14,191,11,CD81,5.0,DMPC,3,14,1.25,185,1,0,4,0,1,13,2
C4,192,12,CD81,5.0,DOPC,3,20,1.25,185,0,0,4,0,1,3,2
A6,193,13,CD81,5.0,DMPC,3,8,0.0,85,2,0,4,0,1,5,0
C1,194,14,CD81,5.0,DMPC,3,8,1.25,85,0,0,4,0,1,0,2
G20,195,15,CD81,5.0,DOPC,3,14,0.0,135,0,0,4,0,1,19,6
B13,196,16,CD81,5.0,DOPC,3,8,1.25,185,0,0,4,0,1,12,1
I14,197,17,CD81,5.0,DOPC,3,20,0.0,185,0,0,4,0,1,13,8
G4,198,18,CD9,5.0,DOPC,3,20,1.25,185,1,0,4,0,1,3,6
C5,199,19,CD9,5.0,DOPC,3,14,1.25,185,2,0,4,0,1,4,2
M21,200,20,CD9,5.0,DOPC,3,20,0.0,85,1,0,4,0,1,20,12
K2,201,21,CD9,5.0,DMPC,3,14,0.0,185,0,0,4,0,1,1,10
H10,202,22,CD9,5.0,DOPC,3,20,1.25,85,2,0,4,0,1,9,7
J12,203,23,CD9,5.0,DMPC,3,14,1.25,85,2,0,4,0,1,11,9
K8,204,24,CD9,5.0,DMPC,3,14,0.0,185,1,0,4,0,1,7,10
A7,205,25,CD9,5.0,DMPC,3,14,0.0,135,0,0,4,0,1,6,0
K7,206,26,CD9,5.0,DMPC,3,14,0.0,135,1,0,4,0,1,6,10
O12,207,27,AqpZ,5.0,DMPC,3,14,1.25,85,2,0,4,0,1,11,14
A20,208,28,AqpZ,5.0,DMPC,3,8,1.25,185,2,0,4,0,1,19,0
E6,209,29,AqpZ,5.0,DOPC,3,8,1.25,185,0,0,4,0,1,5,4
