well_name,DNA_name,DNA_conc,Ffh,FtsY,Liposome_name,Liposome_conc,SecYE,combo,Mg,K
E11,Neu,5.0,0.0,0.0,no_lipo,0.0,0.0,with SecYE,15,85
E12,Neu,5.0,0.3,0.6,no_lipo,0.0,0.0,with SecYE,15,85
E13,SecYE-G,5.0,0.0,0.6,DOPC,3.0,0.0,No SecYE,15,85
E14,SecYE-G,5.0,0.0,0.0,DOPC,3.0,0.0,No SecYE,15,85
E15,MtlA,5.0,0.0,0.0,no_lipo,0.0,0.5,with SecYE,15,85
E16,MtlA,5.0,0.0,0.6,no_lipo,0.0,1.0,with SecYE,15,85
E17,MtlA,5.0,0.3,0.3,no_lipo,0.0,0.5,with SecYE,15,85
E18,Neu,5.0,0.0,0.6,no_lipo,0.0,1.0,with SecYE,15,85
E19,Neu,5.0,0.0,0.3,DOPC,3.0,0.0,with SecYE,15,85
E2,MtlA,5.0,0.3,0.3,no_lipo,0.0,0.0,with SecYE,15,85
E20,MtlA,5.0,0.0,0.3,DOPC,3.0,0.5,with SecYE,15,85
E21,MtlA,5.0,0.0,0.0,DOPC,3.0,0.0,with SecYE,15,85
E22,Neu,5.0,0.3,0.6,no_lipo,0.0,0.5,with SecYE,15,85
E23,MtlA,5.0,0.0,0.0,no_lipo,0.0,1.0,with SecYE,15,85
E24,Neu,5.0,0.3,0.6,DOPC,3.0,0.0,with SecYE,15,85
E3,MtlA,5.0,0.0,0.6,DOPC,3.0,0.5,with SecYE,15,85
E4,MtlA,5.0,0.0,0.6,DOPC,3.0,0.5,with SecYE,15,85
E5,MtlA,5.0,0.6,0.3,DOPC,3.0,0.0,with SecYE,15,85
E6,MtlA,5.0,0.0,0.0,no_lipo,0.0,1.0,with SecYE,15,85
E7,MtlA,5.0,0.6,0.0,no_lipo,0.0,0.5,with SecYE,15,85
E8,MtlA,5.0,0.3,0.0,DOPC,3.0,0.0,with SecYE,15,85
E9,Neu,5.0,0.0,0.0,DOPC,3.0,0.0,with SecYE,15,85
F1,Neu,5.0,0.3,0.0,DOPC,3.0,1.0,with SecYE,15,85
F10,MtlA,5.0,0.6,0.3,no_lipo,0.0,1.0,with SecYE,15,85
F11,Neu,5.0,0.6,0.3,no_lipo,0.0,0.5,with SecYE,15,85
F12,Neu,5.0,0.3,0.6,no_lipo,0.0,0.5,with SecYE,15,85
F13,MtlA,5.0,0.0,0.0,DOPC,3.0,1.0,with SecYE,15,85
F14,MtlA,5.0,0.6,0.3,DOPC,3.0,0.5,with SecYE,15,85
F15,Neu,5.0,0.6,0.3,no_lipo,0.0,0.0,with SecYE,15,85
F16,MtlA,5.0,0.6,0.6,no_lipo,0.0,0.0,with SecYE,15,85
F17,MtlA,5.0,0.0,0.0,DOPC,3.0,0.5,with SecYE,15,85
F18,MtlA,5.0,0.3,0.0,no_lipo,0.0,1.0,with SecYE,15,85
F19,MtlA,5.0,0.0,0.3,no_lipo,0.0,0.0,with SecYE,15,85
F2,Neu,5.0,0.3,0.3,DOPC,3.0,0.0,with SecYE,15,85
F20,Neu,5.0,0.0,0.3,no_lipo,0.0,0.0,with SecYE,15,85
