well_name,DNA_name,DNA_conc,Ffh,FtsY,Liposome_name,Liposome_conc,SecYE,combo,Mg,K
C6,MtlA,5.0,0.6,0.6,DOPC,3.0,0.0,Experiment,15,85
C7,MtlA,5.0,0.6,0.6,DOPC,3.0,1.0,Experiment,15,85
C8,MtlA,5.0,1.5,1.5,no_lipo,0.0,0.5,Experiment,15,85
C9,MtlA,5.0,0.6,1.5,no_lipo,0.0,1.0,Experiment,15,85
D1,AqpZ,5.0,0.6,1.5,no_lipo,0.0,0.5,Experiment,15,85
D10,AqpZ,5.0,0.6,1.5,no_lipo,0.0,1.0,Experiment,15,85
D11,MtlA,5.0,1.5,0.6,no_lipo,0.0,0.0,Experiment,15,85
D12,MtlA,5.0,1.5,0.0,no_lipo,0.0,1.0,Experiment,15,85
D13,MtlA,5.0,0.0,0.6,no_lipo,0.0,0.5,Experiment,15,85
D14,MtlA,5.0,0.0,0.6,DOPC,3.0,0.5,Experiment,15,85
D15,AqpZ,5.0,1.5,1.5,DOPC,3.0,0.5,Experiment,15,85
D16,AqpZ,5.0,0.0,0.0,DOPC,3.0,0.0,Experiment,15,85
D17,AqpZ,5.0,0.6,0.6,no_lipo,0.0,0.5,Experiment,15,85
D18,AqpZ,5.0,1.5,0.6,no_lipo,0.0,1.0,Experiment,15,85
D19,AqpZ,5.0,0.6,0.0,no_lipo,0.0,0.0,Experiment,15,85
D2,AqpZ,5.0,0.6,0.6,DOPC,3.0,0.0,Experiment,15,85
D20,AqpZ,5.0,0.6,1.5,DOPC,3.0,0.0,Experiment,15,85
D21,MtlA,5.0,0.0,0.6,no_lipo,0.0,0.5,Experiment,15,85
D3,MtlA,5.0,0.6,0.0,no_lipo,0.0,0.5,Experiment,15,85
D4,MtlA,5.0,0.6,0.6,no_lipo,0.0,1.0,Experiment,15,85
D5,AqpZ,5.0,0.6,0.0,DOPC,3.0,1.0,Experiment,15,85
D6,AqpZ,5.0,0.0,0.0,DOPC,3.0,1.0,Experiment,15,85
D7,AqpZ,5.0,0.0,0.6,no_lipo,0.0,0.0,Experiment,15,85
D8,AqpZ,5.0,1.5,0.6,no_lipo,0.0,1.0,Experiment,15,85
D9,AqpZ,5.0,0.0,0.0,no_lipo,0.0,0.0,Experiment,15,85
E1,AqpZ,5.0,1.5,0.6,no_lipo,0.0,1.0,Experiment,15,85
