well_name,deGFP,K,Mg,combo
I6,2.5,110.0,20.0,Ind-37
I6,2.5,110.0,20.0,Ind-37
I6,2.5,110.0,20.0,Ind-37
I7,5.0,135.0,20.0,Ind-37
I7,5.0,135.0,20.0,Ind-37
I7,5.0,135.0,20.0,Ind-37
I7,5.0,135.0,20.0,Ind-37
J1,5.0,135.0,25.0,Ind-30
J1,5.0,135.0,25.0,Ind-30
J1,5.0,135.0,25.0,Ind-30
J1,5.0,135.0,25.0,Ind-30
J2,5.0,135.0,20.0,Ind-30
J2,5.0,135.0,20.0,Ind-30
J2,5.0,135.0,20.0,Ind-30
J2,5.0,135.0,20.0,Ind-30
J3,2.5,135.0,20.0,Ind-30
J3,2.5,135.0,20.0,Ind-30
J3,2.5,135.0,20.0,Ind-30
J3,2.5,135.0,20.0,Ind-30
J5,5.0,135.0,25.0,Ind-37
J5,5.0,135.0,25.0,Ind-37
J5,5.0,135.0,25.0,Ind-37
J5,5.0,135.0,25.0,Ind-37
J6,5.0,135.0,20.0,Ind-37
J6,5.0,135.0,20.0,Ind-37
J6,5.0,135.0,20.0,Ind-37
J6,5.0,135.0,20.0,Ind-37
J7,2.5,135.0,20.0,Ind-37
J7,2.5,135.0,20.0,Ind-37
J7,2.5,135.0,20.0,Ind-37
J7,2.5,135.0,20.0,Ind-37
K1,5.0,85.0,25.0,Ind-30
K1,5.0,85.0,25.0,Ind-30
K1,5.0,85.0,25.0,Ind-30
K1,5.0,85.0,25.0,Ind-30
K2,2.5,110.0,20.0,Ind-30
K2,2.5,110.0,20.0,Ind-30
K2,2.5,110.0,20.0,Ind-30
K2,2.5,110.0,20.0,Ind-30
K3,2.5,85.0,25.0,Ind-30
K3,2.5,85.0,25.0,Ind-30
K3,2.5,85.0,25.0,Ind-30
K3,2.5,85.0,25.0,Ind-30
K5,5.0,85.0,25.0,Ind-37
K5,5.0,85.0,25.0,Ind-37
K5,5.0,85.0,25.0,Ind-37
K5,5.0,85.0,25.0,Ind-37
K6,2.5,110.0,20.0,Ind-37
K6,2.5,110.0,20.0,Ind-37
K6,2.5,110.0,20.0,Ind-37
K6,2.5,110.0,20.0,Ind-37
K7,2.5,85.0,25.0,Ind-37
K7,2.5,85.0,25.0,Ind-37
K7,2.5,85.0,25.0,Ind-37
K7,2.5,85.0,25.0,Ind-37
L1,2.5,110.0,25.0,Ind-30
L1,2.5,110.0,25.0,Ind-30
L1,2.5,110.0,25.0,Ind-30
L1,2.5,110.0,25.0,Ind-30
L2,5.0,110.0,15.0,Ind-30
L2,5.0,110.0,15.0,Ind-30
L2,5.0,110.0,15.0,Ind-30
L2,5.0,110.0,15.0,Ind-30
L3,5.0,135.0,15.0,Ind-30
L3,5.0,135.0,15.0,Ind-30
L3,5.0,135.0,15.0,Ind-30
L3,5.0,135.0,15.0,Ind-30
L5,2.5,110.0,25.0,Ind-37
L5,2.5,110.0,25.0,Ind-37
L5,2.5,110.0,25.0,Ind-37
L5,2.5,110.0,25.0,Ind-37
L6,5.0,110.0,15.0,Ind-37
L6,5.0,110.0,15.0,Ind-37
L6,5.0,110.0,15.0,Ind-37
L6,5.0,110.0,15.0,Ind-37
L7,5.0,135.0,15.0,Ind-37
L7,5.0,135.0,15.0,Ind-37
L7,5.0,135.0,15.0,Ind-37
L7,5.0,135.0,15.0,Ind-37
M1,2.5,135.0,20.0,Ind-30
M1,2.5,135.0,20.0,Ind-30
M1,2.5,135.0,20.0,Ind-30
M1,2.5,135.0,20.0,Ind-30
M2,2.5,85.0,20.0,Ind-30
M2,2.5,85.0,20.0,Ind-30
M2,2.5,85.0,20.0,Ind-30
M2,2.5,85.0,20.0,Ind-30
M3,2.5,85.0,25.0,Ind-30
M3,2.5,85.0,25.0,Ind-30
M3,2.5,85.0,25.0,Ind-30
M3,2.5,85.0,25.0,Ind-30
M5,2.5,135.0,20.0,Ind-37
M5,2.5,135.0,20.0,Ind-37
M5,2.5,135.0,20.0,Ind-37
M5,2.5,135.0,20.0,Ind-37
M6,2.5,85.0,20.0,Ind-37
M6,2.5,85.0,20.0,Ind-37
M6,2.5,85.0,20.0,Ind-37
M6,2.5,85.0,20.0,Ind-37
M7,2.5,85.0,25.0,Ind-37
M7,2.5,85.0,25.0,Ind-37
M7,2.5,85.0,25.0,Ind-37
M7,2.5,85.0,25.0,Ind-37
N1,2.5,110.0,15.0,Ind-30
N1,2.5,110.0,15.0,Ind-30
N1,2.5,110.0,15.0,Ind-30
N1,2.5,110.0,15.0,Ind-30
N2,2.5,85.0,20.0,Ind-30
N2,2.5,85.0,20.0,Ind-30
N2,2.5,85.0,20.0,Ind-30
N2,2.5,85.0,20.0,Ind-30
N3,5.0,110.0,20.0,Ind-30
N3,5.0,110.0,20.0,Ind-30
N3,5.0,110.0,20.0,Ind-30
