well_name,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,combo,K
K20,Mito,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
K21,Mito,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
K22,Glut,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
K23,MtlA,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
K3,Neu,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
K4,AqpZ,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
K5,Neu,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
K6,Blank,0.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
K7,Neu,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
K8,Neu,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
K9,B2AR,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
L1,B2AR,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
L10,Mito,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
L11,B2AR,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
L12,MtlA,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
L13,Mito,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
L14,MtlA,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
L15,Blank,0.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
L16,Neu,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
L17,Glut,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
L18,MtlA,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
L19,B2AR,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
L2,AqpZ,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
L20,MtlA,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
L21,B2AR,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
L22,MtlA,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
L23,Mito,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
L3,Blank,0.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
L4,B2AR,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
L5,Mito,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
L6,MtlA,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
L7,Mito,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
L8,MtlA,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
L9,AqpZ,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
M1,AqpZ,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
M10,MtlA,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
M11,Blank,0.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
M12,MtlA,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
M13,Neu,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
M14,MtlA,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
M15,MtlA,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
M16,Glut,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
M17,Glut,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
M18,AqpZ,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
M19,Mito,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
M2,Mito,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
M20,MtlA,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
M21,MtlA,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
M22,Neu,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
M23,AqpZ,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
M3,Neu,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
M4,Neu,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
M5,Glut,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
M6,B2AR,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
M7,Blank,0.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
M8,Glut,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
M9,Mito,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
N1,Blank,0.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
N10,Blank,0.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
N11,Mito,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
N12,Glut,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
N13,MtlA,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
N14,MtlA,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
N15,Glut,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
N16,Blank,0.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
N17,Blank,0.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
N18,AqpZ,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
N19,Neu,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
N2,B2AR,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
N20,AqpZ,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
N21,Glut,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
N22,Blank,0.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
N23,AqpZ,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
N3,AqpZ,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
N4,Neu,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
N5,AqpZ,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
N6,Glut,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
N7,MtlA,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
N8,Mito,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
N9,B2AR,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
O1,Neu,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
O10,Blank,0.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
O11,B2AR,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
O12,B2AR,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
O13,Mito,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
O14,MtlA,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
O15,Glut,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
O16,MtlA,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
O17,Glut,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
O18,Neu,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
O19,Mito,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
O2,AqpZ,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
O20,Blank,0.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
