well_name,unique_id,DNA_name,rxn_id,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,day,plate,col,row
G2,214,MscL,118,20,0.0,185,0,DMPC,5,3,1,1,1,6
K3,215,MscL,119,20,1.25,135,2,DOPC,5,3,1,1,2,10
I20,216,MscL,108,8,0.0,135,1,DMPC,5,3,1,1,19,8
G1,217,MscL,109,8,0.0,185,2,DMPC,5,3,1,1,0,6
N6,218,MscL,110,8,0.0,185,2,DOPC,5,3,1,1,5,13
E17,219,MscL,111,14,0.0,85,0,DOPC,5,3,1,1,16,4
I6,220,MscL,112,14,0.0,135,0,DMPC,5,3,1,1,5,8
G15,221,MscL,113,14,0.0,135,0,DOPC,5,3,1,1,14,6
C4,222,MscL,114,14,0.0,185,1,DMPC,5,3,1,1,3,2
A6,223,MscL,115,14,0.0,185,2,DMPC,5,3,1,1,5,0
C1,224,MscL,116,14,0.0,185,2,DOPC,5,3,1,1,0,2
I18,225,MscL,117,14,1.25,185,2,DOPC,5,3,1,1,17,8
M15,226,MscL,118,20,0.0,185,0,DMPC,5,3,1,1,14,12
B13,227,MscL,119,20,1.25,135,2,DOPC,5,3,1,1,12,1
M16,228,MscL,108,8,0.0,135,1,DMPC,5,3,1,1,15,12
G4,229,MscL,109,8,0.0,185,2,DMPC,5,3,1,1,3,6
C5,230,MscL,110,8,0.0,185,2,DOPC,5,3,1,1,4,2
E23,231,MscL,111,14,0.0,85,0,DOPC,5,3,1,1,22,4
K2,232,MscL,112,14,0.0,135,0,DMPC,5,3,1,1,1,10
F14,233,MscL,113,14,0.0,135,0,DOPC,5,3,1,1,13,5
N20,234,MscL,114,14,0.0,185,1,DMPC,5,3,1,1,19,13
H10,235,MscL,115,14,0.0,185,2,DMPC,5,3,1,1,9,7
J12,236,MscL,116,14,0.0,185,2,DOPC,5,3,1,1,11,9
N15,237,MscL,117,14,1.25,185,2,DOPC,5,3,1,1,14,13
H15,238,MscL,118,20,0.0,185,0,DMPC,5,3,1,1,14,7
P18,239,MscL,119,20,1.25,135,2,DOPC,5,3,1,1,17,15
