well_name,unique_id,rxn_id,DNA_name,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,plate,row,col
C4,313,50,CaM,8,0.0,185,0,DOPC,5,3,2,2,3
N4,316,53,CaM,8,0.0,185,1,DMPC,5,3,2,13,3
P8,326,63,Glut,20,0.0,135,2,DOPC,5,3,2,15,7
H7,327,64,Glut,14,0.0,135,2,DOPC,5,3,2,7,6
K7,328,65,Glut,8,0.0,185,0,DOPC,5,3,2,10,6
E4,329,66,Glut,8,0.0,135,2,DOPC,5,3,2,4,3
L7,331,68,Glut,20,0.625,185,2,DMPC,5,3,2,11,6
P5,334,71,Glut,8,0.0,85,2,DOPC,5,3,2,15,4
M14,335,72,InP,8,0.0,85,0,DMPC,5,3,2,12,13
N13,337,74,InP,8,0.625,85,0,DMPC,5,3,2,13,12
M13,338,75,InP,14,0.0,85,0,DMPC,5,3,2,12,12
E8,340,77,InP,8,0.0,135,0,DMPC,5,3,2,4,7
O20,341,78,InP,14,0.0,85,1,DMPC,5,3,2,14,19
D6,345,82,Mito,20,0.0,185,0,DOPC,5,3,2,3,5
N5,348,85,Mito,14,0.625,185,0,DOPC,5,3,2,13,4
P19,349,86,Mito,14,0.0,185,1,DOPC,5,3,2,15,18
D12,350,87,Mito,8,0.625,185,0,DOPC,5,3,2,3,11
E6,351,88,Mito,8,0.0,185,1,DOPC,5,3,2,4,5
C16,352,89,Mito,14,0.0,135,0,DOPC,5,3,2,2,15
O16,353,90,Mol,8,0.0,135,0,DOPC,5,3,2,14,15
M7,355,92,Mol,8,0.0,85,0,DOPC,5,3,2,12,6
G19,356,93,Mol,8,0.625,185,0,DOPC,5,3,2,6,18
B12,359,96,Mol,14,0.0,135,0,DOPC,5,3,2,1,11
E13,360,97,Mol,8,0.625,85,0,DOPC,5,3,2,4,12
C15,371,108,MtlA,8,0.0,85,2,DMPC,5,3,2,2,14
I6,375,112,MtlA,8,0.0,85,1,DMPC,5,3,2,8,5
H21,376,113,MtlA,14,0.0,135,2,DMPC,5,3,2,7,20
M15,377,114,MtlA,20,0.625,85,2,DMPC,5,3,2,12,14
H5,378,115,MtlA,14,0.0,185,2,DMPC,5,3,2,7,4
C13,415,152,B2AR,8,0.0,185,0,no_lipo,5,0,2,2,12
C2,417,154,B2AR,14,0.0,185,0,no_lipo,5,0,2,2,1
K17,421,158,B2AR,20,0.0,185,0,no_lipo,5,0,2,10,16
F3,432,169,CD47,8,0.0,185,0,no_lipo,5,0,2,5,2
M1,437,174,CD47,8,0.0,185,1,no_lipo,5,0,2,12,0
D10,444,181,CaM,8,0.0,135,1,no_lipo,5,0,2,3,9
L22,445,182,CaM,14,0.0,185,0,no_lipo,5,0,2,11,21
D13,446,183,CaM,8,0.0,185,1,no_lipo,5,0,2,3,12
L5,456,193,Glut,20,0.0,135,2,no_lipo,5,0,2,11,4
B19,458,195,Glut,8,0.0,185,0,no_lipo,5,0,2,1,18
K14,459,196,Glut,8,0.0,135,2,no_lipo,5,0,2,10,13
E10,460,197,Glut,8,0.625,185,0,no_lipo,5,0,2,4,9
P3,462,199,Glut,14,0.625,185,0,no_lipo,5,0,2,15,2
M9,466,203,InP,8,0.625,85,0,no_lipo,5,0,2,12,8
L19,470,207,InP,14,0.0,85,1,no_lipo,5,0,2,11,18
J22,471,208,InP,8,0.625,85,1,no_lipo,5,0,2,9,21
B6,472,209,InP,8,0.0,85,2,no_lipo,5,0,2,1,5
O1,473,210,Mito,14,0.0,185,0,no_lipo,5,0,2,14,0
G6,475,212,Mito,8,0.0,185,0,no_lipo,5,0,2,6,5
