well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,plate,row,col
L5,286.0,46,185.0,no_lipo,20.0,0.0,1.25,3,FITM2,5,2,11,4
N24,288.0,48,85.0,DOPC,8.0,0.0,0.0,3,PPTI,5,2,13,23
L24,289.0,49,85.0,DOPC,8.0,1.0,1.25,3,PPTI,5,2,11,23
I6,290.0,50,85.0,DOPC,14.0,0.0,1.25,3,PPTI,5,2,8,5
I7,294.0,54,85.0,DMPC,8.0,0.0,1.25,3,PPTI,5,2,8,6
H20,298.0,58,85.0,DMPC,20.0,0.0,0.0,3,PPTI,5,2,7,19
A5,301.0,61,185.0,DOPC,8.0,2.0,0.0,3,PPTI,5,2,0,4
C13,302.0,62,185.0,DOPC,14.0,1.0,0.0,3,PPTI,5,2,2,12
A8,303.0,63,185.0,DOPC,14.0,2.0,1.25,3,PPTI,5,2,0,7
M3,304.0,64,185.0,DOPC,20.0,0.0,0.0,3,PPTI,5,2,12,2
M9,311.0,71,185.0,DMPC,20.0,2.0,0.0,3,PPTI,5,2,12,8
E23,312.0,72,85.0,no_lipo,8.0,0.0,0.0,3,PPTI,5,2,4,22
D20,317.0,77,85.0,no_lipo,20.0,2.0,1.25,3,PPTI,5,2,3,19
E3,318.0,78,85.0,no_lipo,8.0,0.0,1.25,3,PPTI,5,2,4,2
K7,319.0,79,85.0,no_lipo,8.0,2.0,0.0,3,PPTI,5,2,10,6
E4,322.0,82,85.0,no_lipo,20.0,0.0,0.0,3,PPTI,5,2,4,3
B3,325.0,85,185.0,no_lipo,8.0,2.0,0.0,3,PPTI,5,2,1,2
A14,328.0,88,185.0,no_lipo,20.0,0.0,0.0,3,PPTI,5,2,0,13
H10,334.0,94,185.0,no_lipo,20.0,0.0,1.25,3,PPTI,5,2,7,9
B18,335.0,95,185.0,no_lipo,20.0,2.0,0.0,3,PPTI,5,2,1,17
N7,336.0,96,85.0,DOPC,8.0,0.0,0.0,3,AuxTI,5,2,13,6
B23,337.0,97,85.0,DOPC,8.0,1.0,1.25,3,AuxTI,5,2,1,22
C4,340.0,100,85.0,DOPC,20.0,1.0,0.0,3,AuxTI,5,2,2,3
N9,341.0,101,85.0,DOPC,20.0,2.0,1.25,3,AuxTI,5,2,13,8
H15,344.0,104,85.0,DMPC,14.0,1.0,0.0,3,AuxTI,5,2,7,14
C16,347.0,107,85.0,DMPC,20.0,1.0,1.25,3,AuxTI,5,2,2,15
C5,348.0,108,185.0,DOPC,8.0,0.0,1.25,3,AuxTI,5,2,2,4
O15,350.0,110,185.0,DOPC,14.0,1.0,0.0,3,AuxTI,5,2,14,14
L21,353.0,113,185.0,DOPC,20.0,1.0,1.25,3,AuxTI,5,2,11,20
K13,355.0,115,185.0,DMPC,8.0,2.0,1.25,3,AuxTI,5,2,10,12
I18,357.0,117,185.0,DMPC,14.0,1.0,1.25,3,AuxTI,5,2,8,17
E2,358.0,118,185.0,DMPC,20.0,0.0,1.25,3,AuxTI,5,2,4,1
H14,361.0,121,85.0,no_lipo,8.0,1.0,1.25,3,AuxTI,5,2,7,13
F19,363.0,123,85.0,no_lipo,14.0,2.0,0.0,3,AuxTI,5,2,5,18
F17,365.0,125,85.0,no_lipo,20.0,2.0,1.25,3,AuxTI,5,2,5,16
O18,366.0,126,85.0,no_lipo,8.0,0.0,1.25,3,AuxTI,5,2,14,17
I22,367.0,127,85.0,no_lipo,8.0,2.0,0.0,3,AuxTI,5,2,8,21
