well_name,plate,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,SecYE,WCE,Supp
N19,3,Neu,5.0,135.0,no_lipo,0.0,12.0,0.0,BL62,S22
N2,3,Vol,5.0,85.0,no_lipo,0.0,20.0,1.25,BL62,S22
N20,3,AqpZ,5.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
N21,3,Glut,5.0,85.0,DOPC,3.0,8.0,1.25,BL62,S22
N22,3,AqpZ,5.0,85.0,DOPC,3.0,12.0,1.25,BL62,S22
N3,3,Glut,5.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
N4,3,Neu,5.0,85.0,DOPC,3.0,12.0,1.25,BL62,S22
N5,3,Neu,5.0,85.0,DOPC,3.0,8.0,0.0,BL62,S22
N6,3,Neu,5.0,85.0,DMPC,3.0,16.0,1.25,BL62,S22
N7,3,AqpZ,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
N8,3,Glut,5.0,85.0,DMPC,3.0,16.0,0.0,BL62,S22
N9,3,Neu,5.0,85.0,no_lipo,0.0,16.0,1.25,BL62,S22
O1,3,Vol,5.0,135.0,DOPC,3.0,20.0,1.25,BL62,S22
O10,3,Glut,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
O11,3,Glut,5.0,135.0,no_lipo,0.0,20.0,0.0,BL62,S22
O12,3,Neu,5.0,135.0,no_lipo,0.0,20.0,1.25,BL62,S22
O13,3,Glut,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
O14,3,Neu,5.0,135.0,DMPC,3.0,20.0,1.25,BL62,S22
O15,3,Glut,5.0,135.0,DOPC,3.0,12.0,1.25,BL62,S22
O16,3,Vol,5.0,85.0,no_lipo,0.0,16.0,1.25,BL62,S22
O17,3,AqpZ,5.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
O18,3,Glut,5.0,85.0,DMPC,3.0,8.0,1.25,BL62,S22
O19,3,Neu,5.0,135.0,no_lipo,0.0,20.0,0.0,BL62,S22
O2,3,Mol,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
O20,3,Mol,5.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
O21,3,Glut,5.0,135.0,no_lipo,0.0,16.0,0.0,BL62,S22
O22,3,Glut,5.0,85.0,DOPC,3.0,12.0,1.25,BL62,S22
O3,3,Neu,5.0,85.0,no_lipo,0.0,8.0,1.25,BL62,S22
O4,3,Neu,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
O5,3,Vol,5.0,85.0,DOPC,3.0,8.0,0.0,BL62,S22
O6,3,Glut,5.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
O7,3,Mol,5.0,85.0,DOPC,3.0,12.0,0.0,BL62,S22
O8,3,Neu,5.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
O9,3,Glut,5.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
P1,3,AqpZ,5.0,85.0,DMPC,3.0,12.0,1.25,BL62,S22
P10,3,Neu,5.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
P11,3,AqpZ,5.0,85.0,DMPC,3.0,20.0,0.0,BL62,S22
P12,3,Mol,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
P13,3,Glut,5.0,85.0,DOPC,3.0,16.0,1.25,BL62,S22
P14,3,AqpZ,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
P15,3,Glut,5.0,135.0,no_lipo,0.0,12.0,0.0,BL62,S22
P16,3,Glut,5.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
P17,3,Vol,5.0,85.0,DOPC,3.0,16.0,1.25,BL62,S22
P18,3,Mol,5.0,135.0,no_lipo,0.0,8.0,1.25,BL62,S22
P19,3,Neu,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
P2,3,AqpZ,5.0,135.0,DMPC,3.0,20.0,0.0,BL62,S22
P20,3,Neu,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
P21,3,Mol,5.0,85.0,no_lipo,0.0,16.0,0.0,BL62,S22
P22,3,Glut,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
P3,3,Neu,5.0,85.0,DMPC,3.0,16.0,1.25,BL62,S22
P4,3,Vol,5.0,85.0,no_lipo,0.0,20.0,0.0,BL62,S22
P5,3,Mol,5.0,135.0,DOPC,3.0,20.0,1.25,BL62,S22
P6,3,Mol,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
P7,3,Neu,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
P8,3,Vol,5.0,135.0,DOPC,3.0,12.0,0.0,BL62,S22
P9,3,Neu,5.0,85.0,DMPC,3.0,8.0,1.25,BL62,S22
