reagent,well_name,row,col,row_zero_based,col_zero_based,droplets_print
PEG,H2,8,2,7,1,4
PEG,H4,8,4,7,3,4
PEG,H5,8,5,7,4,4
PEG,H8,8,8,7,7,4
PEG,H9,8,9,7,8,4
PEG,H16,8,16,7,15,4
PEG,I1,9,1,8,0,4
PEG,I2,9,2,8,1,4
PEG,I3,9,3,8,2,4
PEG,I4,9,4,8,3,4
PEG,I8,9,8,8,7,4
PEG,I12,9,12,8,11,4
PEG,I15,9,15,8,14,4
PEG,I16,9,16,8,15,4
PEG,I22,9,22,8,21,4
PEG,I24,9,24,8,23,4
PEG,J1,10,1,9,0,4
PEG,J2,10,2,9,1,4
PEG,J3,10,3,9,2,4
PEG,J5,10,5,9,4,4
PEG,J10,10,10,9,9,4
PEG,J11,10,11,9,10,4
PEG,J17,10,17,9,16,4
PEG,J20,10,20,9,19,4
PEG,J23,10,23,9,22,4
PEG,K4,11,4,10,3,4
PEG,K5,11,5,10,4,4
PEG,K8,11,8,10,7,4
PEG,K11,11,11,10,10,4
PEG,K12,11,12,10,11,4
PEG,K19,11,19,10,18,4
PEG,K20,11,20,10,19,4
PEG,K22,11,22,10,21,4
PEG,L11,12,11,11,10,4
PEG,L23,12,23,11,22,4
PEG,M3,13,3,12,2,4
PEG,M4,13,4,12,3,4
PEG,M11,13,11,12,10,4
PEG,M12,13,12,12,11,4
PEG,M16,13,16,12,15,4
PEG,M20,13,20,12,19,4
PEG,M22,13,22,12,21,4
PEG,M23,13,23,12,22,4
PEG,M24,13,24,12,23,4
PEG,N2,14,2,13,1,4
PEG,N4,14,4,13,3,4
PEG,N6,14,6,13,5,4
PEG,N13,14,13,13,12,4
PEG,N14,14,14,13,13,4
PEG,N15,14,15,13,14,4
PEG,N18,14,18,13,17,4
PEG,N19,14,19,13,18,4
PEG,N20,14,20,13,19,4
PEG,N21,14,21,13,20,4
PEG,N22,14,22,13,21,4
PEG,O1,15,1,14,0,4
PEG,O5,15,5,14,4,4
PEG,O6,15,6,14,5,4
PEG,O7,15,7,14,6,4
PEG,O12,15,12,14,11,4
PEG,O16,15,16,14,15,4
PEG,O17,15,17,14,16,4
SecYE,A18,1,18,0,17,2
SecYE,B1,2,1,1,0,2
SecYE,B3,2,3,1,2,2
SecYE,B15,2,15,1,14,2
SecYE,C24,3,24,2,23,2
SecYE,D8,4,8,3,7,2
SecYE,D22,4,22,3,21,2
SecYE,D24,4,24,3,23,2
SecYE,E6,5,6,4,5,2
SecYE,F3,6,3,5,2,2
SecYE,F4,6,4,5,3,2
SecYE,F5,6,5,5,4,2
SecYE,F11,6,11,5,10,2
SecYE,G1,7,1,6,0,2
SecYE,G2,7,2,6,1,2
SecYE,G4,7,4,6,3,2
SecYE,G13,7,13,6,12,2
SecYE,G20,7,20,6,19,2
SecYE,H9,8,9,7,8,2
SecYE,I2,9,2,8,1,2
SecYE,I4,9,4,8,3,2
SecYE,I8,9,8,8,7,2
SecYE,I22,9,22,8,21,2
SecYE,I24,9,24,8,23,2
SecYE,J1,10,1,9,0,2
SecYE,J10,10,10,9,9,2
SecYE,J11,10,11,9,10,2
SecYE,J23,10,23,9,22,2
SecYE,K5,11,5,10,4,2
SecYE,K8,11,8,10,7,2
SecYE,K11,11,11,10,10,2
SecYE,L11,12,11,11,10,2
SecYE,M12,13,12,12,11,2
SecYE,M22,13,22,12,21,2
SecYE,M23,13,23,12,22,2
SecYE,N4,14,4,13,3,2
SecYE,N6,14,6,13,5,2
SecYE,N15,14,15,13,14,2
SecYE,O5,15,5,14,4,2
SecYE,O12,15,12,14,11,2
TFR1,B15,2,15,1,14,2
TFR1,C6,3,6,2,5,2
TFR1,C7,3,7,2,6,2
TFR1,D4,4,4,3,3,2
TFR1,E24,5,24,4,23,2
TFR1,G23,7,23,6,22,2
TFR1,H2,8,2,7,1,2
TFR1,H9,8,9,7,8,2
TFR1,I2,9,2,8,1,2
TFR1,I8,9,8,8,7,2
TFR1,I12,9,12,8,11,2
TFR1,J11,10,11,9,10,2
TFR1,J20,10,20,9,19,2
TFR1,L11,12,11,11,10,2
TFR1,L23,12,23,11,22,2
TFR1,M3,13,3,12,2,2
TFR1,M4,13,4,12,3,2
TFR1,M16,13,16,12,15,2
TFR1,M23,13,23,12,22,2
TFR1,N13,14,13,13,12,2
TFR1,N21,14,21,13,20,2
TFR1,O12,15,12,14,11,2
TFR1,O16,15,16,14,15,2
TFR1,O17,15,17,14,16,2
TFR1-TAT,A15,1,15,0,14,2
TFR1-TAT,A16,1,16,0,15,2
TFR1-TAT,B1,2,1,1,0,2
TFR1-TAT,B3,2,3,1,2,2
TFR1-TAT,B5,2,5,1,4,2
TFR1-TAT,C9,3,9,2,8,2
TFR1-TAT,C10,3,10,2,9,2
TFR1-TAT,D22,4,22,3,21,2
TFR1-TAT,D24,4,24,3,23,2
TFR1-TAT,E6,5,6,4,5,2
TFR1-TAT,F20,6,20,5,19,2
TFR1-TAT,G7,7,7,6,6,2
TFR1-TAT,G17,7,17,6,16,2
TFR1-TAT,G24,7,24,6,23,2
TFR1-TAT,H4,8,4,7,3,2
TFR1-TAT,H5,8,5,7,4,2
TFR1-TAT,H16,8,16,7,15,2
TFR1-TAT,K5,11,5,10,4,2
TFR1-TAT,K8,11,8,10,7,2
TFR1-TAT,K11,11,11,10,10,2
TFR1-TAT,K22,11,22,10,21,2
TFR1-TAT,N20,14,20,13,19,2
TFR1-TAT,O1,15,1,14,0,2
TFR1-TAT,O6,15,6,14,5,2
