well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row,WCE
B11,173,17,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,10,1,BL67
O15,174,18,Cat,5,DMPC,3,8,0.0,85,0,0,4,0,1,14,14,BL67
E16,175,19,Cat,5,DOPC,3,20,0.0,185,0,0,4,0,1,15,4,BL67
N19,176,20,Cat,5,DMPC,3,20,0.0,185,0,0,4,0,1,18,13,BL67
F17,177,21,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,16,5,BL67
M17,178,22,Mito,5,no_lipo,3,8,0.0,185,1,0,4,0,1,16,12,BL67
F14,179,23,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,13,5,BL67
E17,180,24,Beta,5,no_lipo,3,20,0.625,185,0,0,4,0,1,16,4,BL67
P12,181,25,Beta,5,no_lipo,3,8,0.0,185,0,0,4,0,1,11,15,BL67
O16,182,26,Beta,5,no_lipo,3,8,1.25,85,1,0,4,0,1,15,14,BL67
A14,183,27,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,13,0,BL67
G18,184,28,Dia,5,no_lipo,3,14,0.0,185,0,0,4,0,1,17,6,BL67
M16,185,29,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,15,12,BL67
L18,186,30,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,17,11,BL67
K13,187,31,OR1A1,5,no_lipo,3,14,0.0,135,0,0,4,0,1,12,10,BL67
F15,188,32,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,14,5,BL67
E15,189,33,CD47,5,no_lipo,3,8,0.0,185,0,0,4,0,1,14,4,BL67
H14,190,34,CD47,5,no_lipo,3,8,0.0,185,1,0,4,0,1,13,7,BL67
B17,191,35,CD47,5,no_lipo,3,20,1.25,85,2,0,4,0,1,16,1,BL67
F19,192,36,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,18,5,BL67
J12,193,38,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,11,9,BL67
C15,194,40,Cat,5,no_lipo,3,20,0.0,185,0,0,4,0,1,14,2,BL67
O19,195,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,18,14,BL67
K15,196,1,Mito,5,DOPC,3,8,0.0,185,1,0,4,0,1,14,10,BL67
F16,197,2,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,15,5,BL67
G16,198,3,Beta,5,DOPC,3,20,0.625,185,0,0,4,0,1,15,6,BL67
A18,199,4,Beta,5,DOPC,3,8,0.0,185,0,0,4,0,1,17,0,BL67
P18,200,5,Beta,5,DOPC,3,8,1.25,85,1,0,4,0,1,17,15,BL67
J16,201,6,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,15,9,BL67
L13,202,7,Dia,5,DOPC,3,14,0.0,185,0,0,4,0,1,12,11,BL67
A15,203,8,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,14,0,BL67
C17,204,9,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,16,2,BL67
C14,205,10,OR1A1,5,DOPC,3,14,0.0,135,0,0,4,0,1,13,2,BL67
F12,206,11,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,11,5,BL67
G12,207,12,CD47,5,DOPC,3,8,0.0,185,0,0,4,0,1,11,6,BL67
N12,208,13,CD47,5,DMPC,3,8,0.0,185,1,0,4,0,1,11,13,BL67
F13,209,14,CD47,5,DOPC,3,20,1.25,85,2,0,4,0,1,12,5,BL67
N17,210,15,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,16,13,BL67
D15,211,16,Blank,0,DMPC,3,8,0.0,85,0,0,4,0,1,14,3,BL67
C16,212,17,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,15,2,BL67
N11,213,18,Cat,5,DMPC,3,8,0.0,85,0,0,4,0,1,10,13,BL67
J14,214,19,Cat,5,DOPC,3,20,0.0,185,0,0,4,0,1,13,9,BL67
A19,215,20,Cat,5,DMPC,3,20,0.0,185,0,0,4,0,1,18,0,BL67
I20,216,21,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,19,8,BL67
C13,217,22,Mito,5,no_lipo,3,8,0.0,185,1,0,4,0,1,12,2,BL67
G17,218,23,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,16,6,BL67
D19,219,24,Beta,5,no_lipo,3,20,0.625,185,0,0,4,0,1,18,3,BL67
H12,220,25,Beta,5,no_lipo,3,8,0.0,185,0,0,4,0,1,11,7,BL67
G11,221,26,Beta,5,no_lipo,3,8,1.25,85,1,0,4,0,1,10,6,BL67
D14,222,27,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,13,3,BL67
N18,223,28,Dia,5,no_lipo,3,14,0.0,185,0,0,4,0,1,17,13,BL67
O11,224,29,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,10,14,BL67
J20,225,30,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,19,9,BL67
D11,226,31,OR1A1,5,no_lipo,3,14,0.0,135,0,0,4,0,1,10,3,BL67
C18,227,32,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,17,2,BL67
K16,228,33,CD47,5,no_lipo,3,8,0.0,185,0,0,4,0,1,15,10,BL67
I16,229,34,CD47,5,no_lipo,3,8,0.0,185,1,0,4,0,1,15,8,BL67
K20,230,35,CD47,5,no_lipo,3,20,1.25,85,2,0,4,0,1,19,10,BL67
K14,231,36,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,13,10,BL67
I17,232,38,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,16,8,BL67
C11,233,40,Cat,5,no_lipo,3,20,0.0,185,0,0,4,0,1,10,2,BL67
N13,234,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,12,13,BL67
J11,235,1,Mito,5,DOPC,3,8,0.0,185,1,0,4,0,1,10,9,BL67
G14,236,2,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,13,6,BL67
P13,237,3,Beta,5,DOPC,3,20,0.625,185,0,0,4,0,1,12,15,BL67
O13,238,4,Beta,5,DOPC,3,8,0.0,185,0,0,4,0,1,12,14,BL67
K12,239,5,Beta,5,DOPC,3,8,1.25,85,1,0,4,0,1,11,10,BL67
K18,240,6,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,17,10,BL67
L12,241,7,Dia,5,DOPC,3,14,0.0,185,0,0,4,0,1,11,11,BL67
E12,242,8,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,11,4,BL67
A20,243,9,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,19,0,BL67
I18,244,10,OR1A1,5,DOPC,3,14,0.0,135,0,0,4,0,1,17,8,BL67
O12,245,11,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,11,14,BL67
D13,246,12,CD47,5,DOPC,3,8,0.0,185,0,0,4,0,1,12,3,BL67
C19,247,13,CD47,5,DMPC,3,8,0.0,185,1,0,4,0,1,18,2,BL67
B18,248,14,CD47,5,DOPC,3,20,1.25,85,2,0,4,0,1,17,1,BL67
F18,249,15,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,17,5,BL67
I12,250,16,Blank,0,DMPC,3,8,0.0,85,0,0,4,0,1,11,8,BL67
N16,251,17,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,15,13,BL67
P15,252,18,Cat,5,DMPC,3,8,0.0,85,0,0,4,0,1,14,15,BL67
F20,253,19,Cat,5,DOPC,3,20,0.0,185,0,0,4,0,1,19,5,BL67
B12,254,20,Cat,5,DMPC,3,20,0.0,185,0,0,4,0,1,11,1,BL67
M11,255,21,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,10,12,BL67
M18,256,22,Mito,5,no_lipo,3,8,0.0,185,1,0,4,0,1,17,12,BL67
C20,257,23,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,19,2,BL67
P11,258,24,Beta,5,no_lipo,3,20,0.625,185,0,0,4,0,1,10,15,BL67
H15,259,25,Beta,5,no_lipo,3,8,0.0,185,0,0,4,0,1,14,7,BL67
C12,260,26,Beta,5,no_lipo,3,8,1.25,85,1,0,4,0,1,11,2,BL67
P19,261,27,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,18,15,BL67
J18,262,28,Dia,5,no_lipo,3,14,0.0,185,0,0,4,0,1,17,9,BL67
G13,263,29,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,12,6,BL67
H17,264,30,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,16,7,BL67
I14,265,31,OR1A1,5,no_lipo,3,14,0.0,135,0,0,4,0,1,13,8,BL67
E14,266,32,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,13,4,BL67
K11,267,33,CD47,5,no_lipo,3,8,0.0,185,0,0,4,0,1,10,10,BL67
H11,268,34,CD47,5,no_lipo,3,8,0.0,185,1,0,4,0,1,10,7,BL67
B20,269,35,CD47,5,no_lipo,3,20,1.25,85,2,0,4,0,1,19,1,BL67
M12,270,36,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,11,12,BL67
D17,271,38,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,16,3,BL67
K19,272,40,Cat,5,no_lipo,3,20,0.0,185,0,0,4,0,1,18,10,BL67
E13,273,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,12,4,BL67
O14,274,1,Mito,5,DOPC,3,8,0.0,185,1,0,4,0,1,13,14,BL67
I11,275,2,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,10,8,BL67
E20,276,3,Beta,5,DOPC,3,20,0.625,185,0,0,4,0,1,19,4,BL67
J15,277,4,Beta,5,DOPC,3,8,0.0,185,0,0,4,0,1,14,9,BL67
H18,278,5,Beta,5,DOPC,3,8,1.25,85,1,0,4,0,1,17,7,BL67
J17,279,6,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,16,9,BL67
A11,280,7,Dia,5,DOPC,3,14,0.0,185,0,0,4,0,1,10,0,BL67
G20,281,8,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,19,6,BL67
L17,282,9,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,16,11,BL67
L20,283,10,OR1A1,5,DOPC,3,14,0.0,135,0,0,4,0,1,19,11,BL67
M15,284,11,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,14,12,BL67
O18,285,12,CD47,5,DOPC,3,8,0.0,185,0,0,4,0,1,17,14,BL67
D12,286,13,CD47,5,DMPC,3,8,0.0,185,1,0,4,0,1,11,3,BL67
I15,287,14,CD47,5,DOPC,3,20,1.25,85,2,0,4,0,1,14,8,BL67
M13,288,15,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,12,12,BL67
L14,289,16,Blank,0,DMPC,3,8,0.0,85,0,0,4,0,1,13,11,BL67
H19,290,17,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,18,7,BL67
