well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,Liposome_conc,DNA_name,DNA_conc,plate,row,col
O7,200,56,185.0,DOPC,20.0,0.0,3,Blank,5,1,14,6
M3,201,57,185.0,DMPC,8.0,2.0,3,Blank,5,1,12,2
P12,202,58,185.0,DMPC,14.0,0.0,3,Blank,5,1,15,11
D9,203,59,185.0,DMPC,20.0,1.0,3,Blank,5,1,3,8
G16,204,60,85.0,no_lipo,8.0,0.0,3,Blank,5,1,6,15
I13,205,61,85.0,no_lipo,14.0,1.0,3,Blank,5,1,8,12
H3,206,62,85.0,no_lipo,20.0,2.0,3,Blank,5,1,7,2
M15,207,63,85.0,no_lipo,8.0,1.0,3,Blank,5,1,12,14
N14,208,64,85.0,no_lipo,14.0,2.0,3,Blank,5,1,13,13
G13,209,65,85.0,no_lipo,20.0,0.0,3,Blank,5,1,6,12
K18,210,66,185.0,no_lipo,8.0,1.0,3,Blank,5,1,10,17
K12,211,67,185.0,no_lipo,14.0,2.0,3,Blank,5,1,10,11
A5,212,68,185.0,no_lipo,20.0,0.0,3,Blank,5,1,0,4
M5,213,69,185.0,no_lipo,8.0,2.0,3,Blank,5,1,12,4
E11,214,70,185.0,no_lipo,14.0,0.0,3,Blank,5,1,4,10
E3,215,71,185.0,no_lipo,20.0,1.0,3,Blank,5,1,4,2
M18,216,0,85.0,DOPC,8.0,0.0,3,TFR1,5,1,12,17
E16,217,1,85.0,DOPC,14.0,1.0,3,TFR1,5,1,4,15
J4,218,2,85.0,DOPC,20.0,2.0,3,TFR1,5,1,9,3
F14,219,3,85.0,DMPC,8.0,1.0,3,TFR1,5,1,5,13
L13,220,4,85.0,DMPC,14.0,2.0,3,TFR1,5,1,11,12
L7,221,5,85.0,DMPC,20.0,0.0,3,TFR1,5,1,11,6
D12,222,6,185.0,DOPC,8.0,1.0,3,TFR1,5,1,3,11
G15,223,7,185.0,DOPC,14.0,2.0,3,TFR1,5,1,6,14
F5,224,8,185.0,DOPC,20.0,0.0,3,TFR1,5,1,5,4
O15,225,9,185.0,DMPC,8.0,2.0,3,TFR1,5,1,14,14
C4,226,10,185.0,DMPC,14.0,0.0,3,TFR1,5,1,2,3
D3,227,11,185.0,DMPC,20.0,1.0,3,TFR1,5,1,3,2
L3,228,12,85.0,no_lipo,8.0,0.0,3,TFR1,5,1,11,2
I4,229,13,85.0,no_lipo,14.0,1.0,3,TFR1,5,1,8,3
B1,230,14,85.0,no_lipo,20.0,2.0,3,TFR1,5,1,1,0
G4,231,15,85.0,no_lipo,8.0,1.0,3,TFR1,5,1,6,3
C17,232,16,85.0,no_lipo,14.0,2.0,3,TFR1,5,1,2,16
